,Z,D,FTAScore,NCAScore,NVCAFlag,DMF,Sex,White,SexWhite,Age,PendingChargeAtTimeOfOffense,NCorNonViolentMisdemeanorCharge,ViolentMisdemeanorCharge,ViolentFelonyCharge,NonViolentFelonyCharge,PriorMisdemeanorConviction,PriorFelonyConviction,PriorViolentConviction,PriorSentenceToIncarceration,PriorFTAInPastTwoYears,PriorFTAOlderThanTwoYears,Staff_ReleaseRecommendation,Y_NCA,Y_NVCA,Y_FTA,Hearing Date
92,0.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,33.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,12
93,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11
94,0.0,0.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,38.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,13
95,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,49.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,13
96,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,12
97,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,13
98,1.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,29.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,13
99,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,13
100,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,47.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,13
101,1.0,0.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,67.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,13
102,1.0,2.0,5.0,5.0,0.0,1.0,0.0,1.0,0.0,30.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,13
103,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,51.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,12
104,0.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,60.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,14
105,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,40.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,14
106,1.0,0.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,56.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,14
107,0.0,1.0,6.0,4.0,0.0,1.0,0.0,1.0,0.0,31.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,16
108,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,14
109,0.0,1.0,4.0,5.0,0.0,1.0,1.0,1.0,1.0,34.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,14
110,1.0,1.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,34.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,14
111,1.0,2.0,5.0,6.0,0.0,1.0,1.0,1.0,1.0,40.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,14
112,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,14
113,1.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,14
114,0.0,2.0,6.0,6.0,0.0,1.0,0.0,1.0,0.0,34.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,6.0,1.0,0.0,0.0,17
115,0.0,0.0,3.0,5.0,0.0,1.0,1.0,1.0,1.0,25.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,14
116,1.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,14
117,0.0,2.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,14
